,Year,Season,Player,Pos,Age,Tm,G,GS,TOV,PF,PTS
19485,2018,regular,Omari Spellman,Power Forward,21,ATL,46,11,0.7,1.5,5.9
19501,2018,regular,Jared Terrell,Shooting Guard,23,MIN,14,0,0.7,1.1,2.2
19502,2018,regular,Emanuel Terry,Power Forward,22,TOT,3,0,0.7,1.3,3.3
19507,2018,regular,Khyri Thomas,Shooting Guard,22,DET,26,0,0.2,0.8,2.3
19515,2018,regular,Allonzo Trier,Shooting Guard,23,NYK,64,3,1.8,1.8,10.9
19524,2018,regular,Jarred Vanderbilt,Power Forward,19,DEN,17,0,0.5,0.5,1.4
19529,2018,regular,Moritz Wagner,Center,21,LAL,43,5,0.9,1.3,4.8
19532,2018,regular,Lonnie Walker,Shooting Guard,20,SAS,17,0,0.2,0.4,2.6
19536,2018,regular,Brad Wanamaker,Point Guard,29,BOS,36,0,0.5,0.9,3.9
19538,2018,regular,Julian Washburn,Small Forward,27,MEM,18,3,0.4,0.9,2.2
19539,2018,regular,Yuta Watanabe,Small Forward,24,MEM,15,0,0.4,0.7,2.6
19540,2018,regular,Thomas Welsh,Center,22,DEN,11,0,0.1,0.3,1.6
19548,2018,regular,Johnathan Williams,Center,23,LAL,24,0,0.7,2.6,6.5
19549,2018,regular,Kenrich Williams,Small Forward,24,NOP,46,29,0.8,2.1,6.1
19552,2018,regular,Robert Williams,Center,21,BOS,32,2,0.3,1.1,2.5
19565,2018,regular,Trae Young,Point Guard,20,ATL,81,81,3.8,1.7,19.1
