,Player,Injury,Length,Date
537,Kristian Kudroc,head injury ,out indefinitely,3562
538,Andrew Ference,surgery to repair hernia ,1876,3563
539,Petr Schastlivy,groin injury ,out indefinitely,3565
540,Brad May,shoulder injury ,out indefinitely,3566
541,Scott Thornton,shoulder injury ,out indefinitely,3567
542,Ryan Hollweg,head injury ,out indefinitely,3568
543,Martin Straka,back injury ,7,3570
544,Branislav Mezei,ankle injury ,out indefinitely,3572
545,Josef Melichar,sub-luxation of shoulder ,DTD,3573
546,Sergei Samsonov,wrist injury ,out indefinitely,3578
547,Michal Roszival,sore groin ,150,3579
548,Randy Robitaille,broken bone in foot ,DTD,3582
549,Darrel Scoville,foot injury ,out indefinitely,3658
550,Dick Tarnstrom,strained hamstring ,4,3659
551,Jan Hrdina,back spasms ,DTD,3659
552,Johan Hedberg,fractured clavicle ,DTD,3659
553,Mario Lemieux,groin injury ,DTD,3661
554,Francis Belanger,shoulder injury ,DTD,3663
555,Dan Bylsma,head injury ,out indefinitely,3692
556,Martin Straka,hamstring injury ,DTD,3695
557,Jesse Wallin,knee injury ,out indefinitely,3727
558,Ramzi Abid,knee injury ,out for season,3729
559,Mats Lindgren,back injury ,out for season,3935
560,Milan Michalek,knee injury ,out indefinitely,3936
561,Marek Svatos,shoulder injury ,out indefinitely,3937
562,Duvie Westcott,ankle injury ,out indefinitely,3938
563,Roman Turek,knee injury ,out indefinitely,3939
564,Eric Daze,back injury ,out indefinitely,3941
565,Al MacInnis,eye injury ,out indefinitely,3941
566,Michal Sivek,finger injury ,out indefinitely,3942
567,Brian Sutherby,groin injury ,out indefinitely,3943
568,Jesse Wallin,concussion ,out indefinitely,3943
569,Robert Schnabel,wrist injury ,out indefinitely,3943
570,Barret Jackman,shoulder injury ,out indefinitely,3947
571,Nolan Yonkman,knee injury ,out indefinitely,3948
572,Eric Lindros,shoulder injury ,out indefinitely,3948
573,Mike Johnson ,shoulder injury ,out indefinitely,3937
574,Mario Lemieux,hip injury ,749,3937
575,Nikita Alexeev,shoulder injury ,out indefinitely,3938
576,Sebastian Charpentier,leg injury ,out indefinitely),3939
577,Alexander Korolyuk,leg injury ,7,3942
578,Ryan Jardine,knee injury ,out indefinitely,3943
579,Marty Reasoner,ankle injury ,DTD,3944
580,Jocelyn Thibault,hip injury ,out indefinitely,3945
581,Zac Bierk,hip injury ,out indefinitely,3945
582,Alexander Mogilny,hip injury ,out indefinitely,3956
583,Wade Belak,abdominal injury ,out indefinitely,3956
584,Eric Messier,wrist injury ,out indefinitely,3957
585,Mikael Samuelsson,jaw injury ,out indefinitely,3957
586,Alexander Korolyuk,leg injury ,13,3957
587,Steve McCarthy,groin injury ,out indefinitely,3958
588,Blair Betts,shoulder injury ,out indefinitely,3958
589,Alexander Karpovtsev,ankle injury ,out indefinitely,3962
590,Bruno St. Jacques,abdominal injury ,out indefinitely,3964
591,Stanislav Neckar  Stan Neckar,groin injury ,out indefinitely,3965
592,Ron Tugnutt,knee injury ,out indefinitely,3968
593,Richard Scott,head injury ,out indefinitely,3970
594,Blair Betts,shoulder injury ,out indefinitely,3997
595,Milan Hnilicka,finger injury ,out indefinitely,3997
596,Ron Tugnutt,groin injury ,out indefinitely,4019
597,Bill Lindsay,throat injury ,out indefinitely,4020
598,Rem Murray,neck injury ,out indefinitely,4022
599,Aleksander Suglobov  Alexander Suglobov,wrist injury ,out indefinitely,4022
600,Dave Lowry,abdominal injury ,out indefinitely,4023
601,Wade Belak,knee injury ,out indefinitely,4023
602,Scott Stevens,head injury ,out indefinitely,4024
603,Zigmund Palffy  Ziggy Palffy,shoulder injury ,out indefinitely,4024
604,Dennis Seidenberg,leg injury ,out indefinitely,4027
605,Chris Tamer,back injury ,out indefinitely,4028
606,Marty Reasoner,knee injury ,DTD,4030
607,D. Smith,knee injury ,out for season,4031
608,Ivan Novoseltsev,head injury ,out indefinitely,4033
609,Jeff Hackett,vertigo ,out indefinitely,4036
610,Mikael Samuelsson,hand injury ,out indefinitely,4038
611,Niklas Kronwall,broken leg ,out for season,4039
612,Mike Stuart,groin injuiry ,out indefinitely,4045
613,Eric Lindros,head injury ,out indefinitely,4045
614,Yannick Tremblay,hip injury ,out indefinitely,4047
615,Duvie Westcott,hand injury ,1357,4048
616,Magnus Arvedson,knee injury ,out indefinitely,4048
617,Luke Sellars,knee injury ,out indefinitely,4050
618,Eric Boguniecki,head injury ,out indefinitely,4076
619,Dan Blackburn,exploratory surgery on left shoulder ,date approximate,4078
620,Steve Moore ,"broken neck, concussion, lacerations ",out indefinitely,4085
621,Sami Kapanen,surgery on injured right shoulder,Unknown,4646
622,Paul Kariya,groin injury ,will miss first two preseason games,4647
623,Chris Osgood,groin injury ,433,4647
624,Patrik Stefan,head injury,Unknown,4647
625,Patrik Stefan,released from hospital,Unknown,4648
626,Jeremy Roenick,concussion ,750,4651
627,Rostislav Klesla,stress fracture in right leg ,out 4-6 weeks,4652
628,Derian Hatcher,returned to practice,Unknown,4652
629,Peter Forsberg,returned to practice,Unknown,4652
630,Barret Jackman,shoulder injury ,1956,4653
631,Doug Weight,shoulder injury ,out 1-2 weeks,4653
632,Niklas Kronwall,left knee injury ,out 6+ weeks,4653
633,Cristobal Huet,knee injury ,out indefinitely,4654
634,Robyn Regehr,injured knee,Unknown,4654
635,Freddy Meyer,broken leg ,out indefinitely,4654
636,Karel Pilar,heart ailment ,out indefinitely,4654
637,Vaclav Varada,sprained right knee ,out until late-Oct,4654
638,Marian Gaborik,groin injury ,DTD,4654
639,Steve Yzerman,groin injury ,DTD,4655
640,Robyn Regehr,sprained knee ,1861,4656
641,Niklas Kronwall,will have surgery on left knee ,1200,4656
642,Mikko Koivu,injured left knee ,out 1 month,4656
643,Brian Boucher,pulled groin ,out indefinitely,4659
644,Jason Chimera,rib injury ,out indefinitely,4659
645,Joe Nieuwendyk,aggravated hip flexor muscle,Unknown,4659
646,Olli Jokinen,groin injury,Unknown,4659
647,Steve Yzerman,groin injury ,24,4659
648,Scott Parker,facial injury ,out indefinitely,4659
649,Doug Weight,shoulder injury ,1529,4660
650,Alexei Zhamnov  Alex Zhamnov,shoulder injury ,out indefinitely,4660
651,Dave Scatchard,groin injury ,out indefinitely,4660
652,Chris Clark,rib injury ,DTD,4660
653,Alexander Mogilny,hip injury ,DTD,4660
654,Justin Williams,shoulder injury ,3302,4660
655,Arron Asham,rib injury ,1891,4660
656,Ken Klee,ankle injury ,DTD,4660
657,Martin Gerber,pulled muscle near left hip ,DTD,4660
658,Marty Reasoner,right foot injury ,DTD,4660
659,Eric Cairns,left ankle injury ,DTD,4660
660,Scott Nichol,groin injury ,2,4660
661,Mikko Koivu,injured left knee ,out 1 month,4660
662,Brad May,groin injury ,DTD,4661
663,Jaroslav Spacek,bruised ribs ,2210,4661
664,Mats Sundin,struck in face by puck ,1303,4661
665,Wade Belak,foot injury ,DTD,4661
666,Jonathan Hedstrom,groin injury ,DTD,4661
667,Jamie Allison,groin injury ,DTD,4661
668,Jamie Rivers,groin injury ,4,4661
669,Dmitri Kalinin,groin injury ,DTD,4661
670,Jeff Jillson,quadricep injury ,10,4661
671,Kari Lehtonen,injured groin ,left game,4661
672,Keith Tkachuk,groin injury ,DTD,4662
673,Matt Walker,foot injury ,out indefinitely,4662
674,Richard Zednik,groin injury ,DTD,4662
675,Derek Morris,groin injury ,2312,4662
676,Petr Nedved,groin injury ,91,4662
677,Martin Brodeur,right knee injury ,left game,4662
678,Martin Gerber,hip injury ,DTD,4662
679,Jeff Cowan,groin injury ,out indefinitely,4662
680,Chris Gratton,groin injury ,DTD,4671
681,Jamie Allison,returend to lineup,Unknown,4671
682,Keith Tkachuk,ribcage injury ,1607,4675
683,Fernando Pisani,illness ,DTD,4681
684,Ian Moran,surgery on knee ,out indefinitely,4670
685,Dainius Zubrus,groin injury ,DTD,4670
686,Todd Fedoruk,back injury ,DTD,4672
687,Chris Gratton,hip injury ,DTD,4672
688,Nathan Horton,sprained left knee ,DTD,4672
689,John LeClair,facial injury ,out indefinitely,4672
690,Adam Hall,sprained ankle ,DTD,4672
691,Steve Sullivan,groin injury ,DTD,4672
692,Jay McKee,foot injury ,DTD,4672
693,Mike Van Ryn,hip flexor injury ,733,4679
694,Eric Brewer,right shoulder injury ,1989,4683
695,Niclas Wallin,surgery on wrist ,731,4686
696,Shawn Bates,hamstring injury ,left game,4686
697,Sebastien Caron,strained quadricep ,DTD,4686
698,Dennis Seidenberg,broken right wrist ,2342,4689
699,Mike Richards,sprained right wrist ,521,4689
700,Ryan Flinn,head injury ,left game,4693
701,Steve Konowalchuk,torn ligaments in right wrist ,out for season,4694
702,Manny Malhotra,back spasms ,DTD,4697
703,Fredrik Modin  Freddy Modin,back spasms ,1177,4697
704,Martin Havlat  Marty Havlat,dislocated right shoulder ,out indefinitely,4697
705,David Vyborny,knee injury ,left game,4698
706,Christian Backman,fractured left foot ,out indefinitely,4698
707,Scott Young,hip injury ,5,4698
708,Adrian Aucoin,groin injury ,1820,4700
709,Radek Bonk,groin injury ,DTD,4700
710,Tyson Nash,strained abdominal muscle ,out indefinitely,4700
711,Nick Boynton,bruised knee ,out 4-6 weeks,4705
712,Roman Hamrlik,knee injury ,DTD,4705
713,Jussi Jokinen,lower body injury ,1878,4707
714,Pascal Dupuis,flu ,DTD,4707
715,Jason Blake,head injury ,left game,4710
716,Jeff Cowan,hamstring injury ,DTD,4710
717,Anthony Stewart,surgery on right wrist to insert pins ,out for season,4710
718,Joe Nieuwendyk,back injury ,332,4710
719,Tie Domi,shoulder injury ,DTD,4714
720,Sami Kapanen,flu ,DTD,4723
721,Jan Hrdina,chest injury ,DTD,4728
722,Pascal Leclaire,neck injury ,left game,4728
723,Steve Begin,strained neck ,DTD,4728
724,Tom Preissing,pneumonia ,DTD,4754
725,Tuomo Ruutu,severed tendon in right ankle ,out for season,4757
726,Alexei Zhamnov  Alex Zhamnov,fractured ankle ,out for season,4757
727,Donald Brashear,muscle strain ,1195,4759
728,Robert Esche,groin injury ,DTD,4759
729,Mike Commodore,leg knjury ,1374,4761
730,Steve Eminger,ankle injury ,290,4764
731,Mike Johnson ,neck injury ,DTD,4764
732,Evgeni Nabokov,groin injury ,DTD,4764
733,Daniel Tjarnqvist,bruised foot ,1023,4764
734,Pascal Dupuis,right shoulder injury ,left game,4764
735,Bret Hedican,shoulder injury ,2,4767
736,Cory Stillman,torso injury ,352,4767
737,Martin Erat,hip flexor injury ,681,4772
738,Alex Henry,chest injury ,out indefinitely,4772
739,Mikko Koivu,knee injury ,DTD,4772
740,Peter Forsberg,groin injury ,273,4774
741,Travis Moen,shoulder injury ,DTD,4774
742,Teppo Numminen,hamstring injury ,DTD,4774
743,Rory Fitzpatrick,returned to lineup ,activated from IR?,4774
744,Niko Kapanen,flu ,DTD,4774
745,Patrick Traverse,ankle injury ,out indefinitely,4774
746,Matt Bradley,foot injury ,DTD,4779
747,Ladislav Nagy,knee injury ,DTD,4779
748,Steve Montador,broken nose ,DTD,4791
749,Jean-Pierre Vigier  J. Vigier,surgery on right knee ,out for remainder of regular season,4791
750,Patrik Stefan,sports hernia ,out until late Mar,4791
751,Randy Robitaille,broken toe ,16,4791
752,Per-Johan Axelsson  P. Axelsson,left knee injury ,DTD,4810
753,Gary Roberts,sprained MCL in knee ,out until late-Mar,4810
754,Brad May,leg injury ,DTD,4811
755,Jamie Heward,head injury ,left game,4811
756,Erik Cole,arm injury ,left game,4811
757,Eric Lindros,wrist injury ,out for season,4811
758,Nikolai Antropov  Nik Antropov,arm injury ,DTD,4811
759,Mikael Samuelsson,wrist injury ,19,4811
760,Darren McCarty,flu ,226,4814
761,Andy Wozniewski,lower body injury ,out indefinitely,4814
762,Danny Markov,ankle injury ,DTD,4814
763,Scottie Upshall,hip injury ,7,4814
764,Douglas Murray  Doug Murray ,upper body injury ,2188,4814
765,Mikko Koivu,flu ,1118,4814
766,Kimmo Timonen,bruised hand ,353,4815
767,Marek Svatos,right shoulder injury ,out for remainder of regular season,4816
768,Ed Belfour,sore back ,DTD,4821
769,Mike York,concussion ,DTD,4824
770,Serge Aubin,knee injury ,out until early Apr,4827
771,Dave Scatchard,bronchitis ,DTD,4835
772,Jamie Rivers,foot injury ,DTD,4835
773,Paul Mara,flu ,DTD,4835
774,Marcus Nilson,knee injury ,out indefinitely,4835
775,Mike Leclerc,broken wrist ,out until early-May,4835
776,Mike York,facial injury ,599,4835
777,Georges Laraque,hip flexor injury ,1046,4835
778,Darius Kasparaitis,groin injury ,DTD,4837
779,Teppo Numminen,sprained knee ,out indefinitely,4837
780,Tom Poti,upper body injury ,DTD,4847
781,Alyn McCauley,lower body injury ,DTD,4847
782,Willie Mitchell,upper body injury ,199,4847
783,Andrei Zyuzin,strained groin ,354,4847
784,David Tanabe,surgery to repair torn ACL,Unknown,4848
785,Radek Bonk,leg injury ,DTD,4848
786,Steve Begin,knee injury ,out indefinitely,4848
787,Matt Bradley,lower body injury ,left game,4848
788,Tyson Nash,knee injury ,DTD,4848
789,Marek Malik,shoulder injury ,DTD,4849
790,Robert Lang,upper body injury ,DTD,4849
791,Jamie Heward,upper body injury ,DTD,4853
792,Robert Esche,flu ,DTD,4853
793,Ryan 'Marra,broken ankle ,out indefinitely,5007
794,Paul Kariya,hamstring injury ,DTD,5007
795,John Madden,hernia ,148,5012
796,Evgeni Malkin,dislocated left shoulder ,1525,5012
797,Jaromir Jagr,shoulder injury ,DTD,5012
798,Paul Ranger,broken foot ,out 3-4 weeks),5013
799,Kevin Weekes,groin injury ,out indefinitely,5013
800,Marek Malik,surgery on knee ,DTD,5013
801,Joe Corvo,broken right foot ,out indefinitely,5013
802,Tuomo Ruutu,sprained left knee ,out ~4 weeks,5014
803,Jay McKee,knee injury ,542,5014
804,Alexander Mogilny,hip injury ,out indefinitely,5014
805,Danny Markov,strained MCL in left knee ,DTD,5014
806,Bryan Berard,back injury ,DTD,5019
807,Antero Niittymaki,hip injury ,744,5019
808,Alex Henry,foot injury ,DTD,5019
809,Pierre Turgeon,rotator cuff injury ,DTD,5020
810,Fredrik Sjostrom,shoulder injury ,out indefinitely,5020
811,Patrik Stefan,hip injury ,DTD,5022
812,Marc Chouinard,sprained right shoulder ,DTD,5023
813,Christian Backman,recovering from surgery on shoulder ,out indefinitely,5024
814,Vladimir Orszagh,surgery on left knee ,out for season,5024
815,Lars Jonsson,sprained right ankle ,out indefinitely,5024
816,Ben Ondrus,undisclosed injury ,out indefinitely,5024
817,Brendan Bell,ankle injury ,11,5024
818,Carlo Colaiacovo,headache ,out indefinitely,5024
819,Nikolai Antropov  Nik Antropov,leg injury ,105,5024
820,Staffan Kronwall,ankle injury ,out indefinitely,5024
821,Eric Cairns,ankle injury ,out indefinitely,5024
822,Ronald Petrovicky,surgery on hip ,18,5024
823,Sandis Ozolinsh,surgery on left knee ,out indefinitely,5024
824,Sandis Ozolinsh,surgery on knee ,out indefinitely,5024
825,Alexander Svitov,shoulder injury ,DTD,5026
826,Ryan Johnson,heart abnormality ,DTD,5026
827,Matt Bradley,undisclosed injury ,DTD,5026
828,David Hale,head injury ,DTD,5026
829,Eric Nystrom,shoulder injury ,2586,5026
830,Rhett Warrener,knee injury ,out ~2 weeks,5026
831,Brad Tapper,undisclosed injury ,out indefinitely,5026
832,Denis Gauthier,concussion ,772,5026
833,Chris Campoli,groin injury ,out 2-3 weeks,5026
834,Joel Bouchard,hamstring injury ,DTD,5026
835,Brooks Orpik,surgery on hand ,1479,5026
836,Darius Kasparaitis,hernia ,DTD,5026
837,Greg Johnson,heart abnormality ,out indefinitely,5026
838,Tom Preissing,knee injury ,DTD,5026
839,Vojtech Polak,activated from IR,Unknown,5026
840,Milan Jurcina,elbow injury ,DTD,5027
841,Richard Petiot,surgery on knee ,out indefinitely,5027
842,Boyd Gordon,undisclosed injury ,DTD,5028
843,Mike Rathje,herniated disc ,out indefinitely,5028
844,Bret Hedican,upper body injury ,DTD,5035
845,Glen Wesley,lower body injury ,DTD,5035
846,Trevor Letowski,head injury ,left game,5035
847,Rick DiPietro,groin injury ,1554,5035
848,Michael Peca,lower body injury ,DTD,5035
849,Ethan Moreau,sprained shoulder ,out indefinitely,5042
850,Tony Salmelainen,separated shoulder ,out indefinitely,5052
851,Richard Zednik,wrist injury ,13,5036
852,Mike Comrie,broken right foot ,1253,5036
853,Dan Hinote,neck injury ,out indefinitely,5046
854,Scottie Upshall,groin injury ,442,5048
855,Jonathan Cheechoo,knee injury ,DTD,5048
856,Michal Handzus,knee injury ,1840,5049
857,Chris Clark,mouth injury ,DTD,5049
858,Dustin Brown,ill ,2585,5062
859,Marc-Andre Bergeron,flu ,2,5062
860,Trent Hunter,sprained knee ,DTD,5067
861,Aleksander Suglobov  Alexander Suglobov,back injury ,DTD,5067
862,Carlo Colaiacovo,head injury ,out indefinitely,5067
863,Jamie Heward,chin injury ,DTD,5078
864,Richard Zednik,surgery on groin ,out indefinitely,5078
865,Mikael Samuelsson,groin injury ,DTD,5080
866,Pascal Leclaire,surgery on knee ,out 4-8 weeks,5091
867,Rostislav Klesla,foot injury ,25,5091
868,Ryan Johnson,separated shoulder ,101,5091
869,Brian Sutherby,stomach virus ,DTD,5091
870,Matt Pettinger,stomach virus ,DTD,5091
871,Steve Eminger,stomach virus ,DTD,5091
872,Paul Ranger,hand injury ,DTD,5092
873,Carlo Colaiacovo,headache ,DTD,5092
874,Marian Gaborik,strained groin ,DTD,5115
875,Saku Koivu,gastrointestinal virus ,DTD,5119
876,Glen Wesley,lower body injury ,DTD,5119
877,Jiri Novotny,lower body injury ,DTD,5121
878,Willie Mitchell,groin injury ,DTD,5126
879,Willie Mitchell,groin injury ,DTD,5132
880,Jarret Stoll,broken nose ,DTD,5132
881,Chris Osgood,flu ,DTD,5132
882,Brendan Witt,hand injury ,DTD,5140
883,Tim Taylor,flu ,DTD,5143
884,Philippe Boucher,lower body injury ,DTD,5145
885,Manny Fernandez,knee injury ,DTD,5145
886,Kyle McLaren,knee injury ,6,5151
887,Ed Jovanovski,groin injury ,out indefinitely,5160
888,Raitis Ivanans,arm injury ,out indefinitely,5163
889,Craig Conroy,elbow injury ,DTD,5166
890,Ben Eager,ankle injury ,out indefinitely,5166
891,R. Umberger,flu ,DTD,5166
892,Mattias Norstrom,knee injury ,DTD,5173
893,Niklas Backstrom,lower body injury ,DTD,5173
894,Scott Parker,left knee injury ,out remainder of regular season,5174
895,Alexander Svitov,upper body injury ,DTD,5174
896,Marty Reasoner,shoulder injury ,DTD,5175
897,Jason Arnott,flu ,DTD,5175
898,Andrew Peters,upper body injury ,DTD,5175
899,Tuomo Ruutu,flu ,DTD,5176
900,Rob Blake,groin injury ,693,5178
901,Krystofer Barch  Krys Barch,toe injury ,367,5180
902,Wes Walz,upper body injury ,DTD,5180
903,Simon Gagne,groin injury ,DTD,5183
904,Derek Armstrong,left knee injury ,DTD,5183
905,Karel Rachunek,right knee injury ,out 4-6 weeks,5186
906,Radim Vrbata,wrist injury ,DTD,5187
907,Jeff Hamilton,back injury ,DTD,5195
908,Richard Jackman  Ric Jackman,back spasms ,out indefinitely,5195
909,Brett Lebda,concussion ,DTD,5198
910,Dion Phaneuf,flu ,DTD,5201
911,Scott Gomez,bruised thigh ,DTD,5204
912,Todd Marchant,abdominal injury ,out indefinitely,5207
913,Martin Havlat  Marty Havlat,shoulder injury ,out for season,5208
914,Mikael Holmqvist  Michael Holmqvist,shoulder injury ,out for season,5208
915,Raymond Macias  Ray Macias,undisclosed injury ,out indefinitely,5389
916,Niklas Hjalmarsson,placed on IR with undisclosed injury,789,5389
917,Eric Fehr,back injury ,out indefinitely,5389
918,Steve Eminger,ankle injury ,DTD,5389
919,Josh Gratton,placed on IR with finger injury,Unknown,5389
920,Colin White,right eye injury ,1114,5389
921,Brent Krahn,knee injury ,out indefinitely,5389
922,David Moss,upper body injury ,DTD,5389
923,Cory Stillman,torso injury ,1229,5389
924,Shawn Bates,abdominal injury ,out indefinitely,5389
925,Carlo Colaiacovo,knee injury ,out indefinitely,5389
926,Ethan Moreau,fractured tibia ,DTD,5389
927,Richard Zednik,shoulder injury ,DTD,5389
928,Steve Montador,surgery on knee ,524,5389
929,Kevin Klein,shoulder injury ,DTD,5389
930,Joe Barnes,undisclosed injury ,out indefinitely,5389
931,Darren Helm,undisclosed injury ,1558,5389
932,Niko Dimitrakos,hip injury ,2,5389
933,Kurtis Foster,groin injury ,156,5389
934,Tuomo Ruutu,knee injury ,597,5390
935,Alexander Edler  Alex Edler,hip injury ,6,5390
936,Zbynek Michalek,broken hand ,2718,5390
937,Andreas Karlsson,abdominal strain ,DTD,5390
938,Devin Setoguchi,placed on IR with ankle injury,Unknown,5390
939,Martin Havlat  Marty Havlat,shoulder injury ,out indefinitely,5391
940,Alexander Semin,sprained ankle ,1153,5391
941,Bret Hedican,illness ,DTD,5391
942,Shea Weber,dislocated kneecap ,2235,5391
943,Ales Kotalik,knee injury ,DTD,5391
944,Mikael Samuelsson,groin injury ,1134,5400
945,Jeff Cowan,hip flexor ,DTD,5401
946,Lukas Krajicek,foot injury ,388,5401
947,Todd Marchant,ankle injury ,DTD,5401
948,Boyd Devereaux,back injury ,DTD,5401
949,Karel Rachunek,groin injury ,DTD,5417
950,Derian Hatcher,surgery on knee ,out indefinitely,5417
951,Rhett Warrener,throat injury ,DTD,5400
952,Sean Bergenheim,shoulder injury ,9,5400
953,Ryan Whitney,groin injury ,DTD,5400
954,Bill Guerin,facial injury ,DTD,5409
955,Randy Robitaille,hand injury ,3,5418
956,Filip Kuba,abdominal injury ,DTD,5421
957,Jiri Tlusty,ankle injury ,DTD,5421
958,Marek Zidlicky,strained back ,DTD,5421
959,Matt Ellis ,headache ,DTD,5421
960,Pascal Leclaire,hamstring injury ,DTD,5425
961,Chris Clark,groin injury ,DTD,5427
962,Jay Pandolfo,groin injury ,DTD,5427
963,Steve Begin,shoulder injury ,DTD,5434
964,Michael Nylander,undisclosed injury ,DTD,5434
965,Michel Ouellet,shoulder injury ,out 4-6 weeks,5441
966,Mike Fisher,abdominal strain ,6,5443
967,Tomas Holmstrom,right knee injury ,126,5449
968,Petr Sykora ,illness ,DTD,5456
969,Matt Cullen,broken nose ,DTD,5480
970,Miroslav Satan,knee injury ,DTD,5489
971,Branko Radivojevic,sore neck ,DTD,5489
972,Sergei Fedorov,hip pointer ,DTD,5490
973,Per-Johan Axelsson  P. Axelsson,foot injury ,DTD,5490
974,Radim Vrbata,groin injury ,DTD,5495
975,Steven Reinprecht,neck injury ,DTD,5495
976,Ryan Johnson,foot injury ,DTD,5501
977,Marek Svatos,groin injury ,DTD,5511
978,Ben Eager,concussion ,DTD,5511
979,Martin Erat,back spasms ,260,5518
980,Daniel Cleary  Dan Cleary  Danny Cleary,broken jaw ,774,5518
981,Drew Stafford,right ankle injury ,800,5518
982,David Moss,leg injury ,out indefinitely,5526
983,Joffrey Lupul,sprained right ankle ,out indefinitely,5526
984,Steve Downie,upper body injury ,8,5526
985,Jeff Finger,hand injury ,DTD,5531
986,Wojtek Wolski,undisclosed injury ,DTD,5531
987,Matt Foy,left eye injury ,DTD,5533
988,Mike Richards,hamstring injury ,19,5534
989,Mattias Ohlund,knee injury ,DTD,5543
990,Matt Niskanen,sore back ,1048,5547
991,Sidney Crosby,sprained right ankle ,DTD,5550
992,Andreas Lilja,flu ,DTD,5550
993,Dominik Hasek,back injury ,DTD,5550
994,Tim Connolly,hip injury ,DTD,5550
995,Patrik Elias,left knee injury ,DTD,5553
996,Randy Jones,hip flexor injury ,372,5553
997,Peter Forsberg,groin injury ,DTD,5558
998,Dan Fritsche,broken hand ,out for season,5558
999,Jay McKee,foot injury ,DTD,5558
1000,Jean-Sebastien Giguere,back spasms ,DTD,5560
1001,Ryan Getzlaf,shoulder injury ,DTD,5560
1002,Jack Johnson ,fractured right foot ,out for season,5560
1003,Kyle Calder,finger injury ,DTD,5560
1004,Scott Thornton,upper body injury ,out indefinitely,5560
1005,Jeff Halpern,abdominal strain ,1125,5560
1006,Greg de Vries  Greg DeVries,upper body injury ,DTD,5560
1007,Dallas Drake,chest injury ,DTD,5560
1008,Marc Savard,back injury ,DTD,5563
1009,Vaclav Prospal  Vinny Prospal,flu ,DTD,5567
1010,Bret Hedican,torso injury ,3,5567
1011,Karel Rachunek,neck injury ,DTD,5570
1012,Craig Conroy,upper body injury ,601,5570
1013,Mikhail Grabovski,flu ,DTD,5572
1014,Vincent Lecavalier,shoulder injury ,out for season,5572
1015,Kyle Brodziak,broken finger ,DTD,5572
1016,Brian Rafalski,rest ,DTD,5575
1017,Chris Chelios,rest ,DTD,5575
1018,David Legwand,flu ,DTD,5587
1019,Jason Arnott,flu ,188,5587
1020,Kimmo Timonen,blood clot in right ankle ,out indefinitely,5608
1021,Johan Franzen,concussion ,DTD,5609
1022,Brandon Nolan,head injury ,out for season),5753
1023,Steve Downie,strained MCL in knee ,DTD,5754
1024,Jason Ward,groin injury ,out indefinitely,5755
1025,Paul Ranger,shoulder injury ,2006,5755
1026,Brad Larsen,hernia ,out 6-8 weeks,5756
1027,Petr Sykora ,groin injury ,DTD,5756
1028,Mike Fisher,groin injury ,3113,5756
1029,Scott Walker,surgery on left hand to repair torn ligament,178,5758
1030,Jonas Ahnelov,broken finger ,out indefinitely,5759
1031,Andy Sutton,surgery on hand ,out indefinitely,5759
1032,Darren McCarty,groin injury ,out indefinitely,5759
1033,Jimmy Howard,broken finger ,out 1-2 weeks,5759
1034,D. King,wrist injury ,8,5760
1035,Dan Hinote,leg injury ,DTD,5760
1036,Jonas Junland,placed on IR with left shoulder injury,Unknown,5760
1037,Francis Bouillon,leg injury ,out indefinitely,5760
1038,Rhett Warrener,placed on IR with shoulder injury,Unknown,5760
1039,Karlis Skrastins,neck injury ,out indefinitely,5760
1040,Scott Parker,placed on IR with concussion,Unknown,5761
1041,Jeff Finger,bruised foot ,145,5761
1042,Mathieu Roy,sprained right wrist ,out indefinitely,5761
1043,Kyle Quincey,back injury ,DTD,5761
1044,Chris Higgins,groin injury ,DTD,5762
1045,Zach Boychuk,surgery on wrist ,DTD,5762
1046,Josh Bailey,lower body injury ,DTD,5762
1047,Radek Bonk,hip flexor injury ,131,5762
1048,Tim Connolly,back injury ,2,5762
1049,Daniel Alfredsson,right knee injury ,1271,5762
1050,Marcel Goc,back injury ,9,5762
1051,Jere Lehtinen,groin injury ,DTD,5762
1052,Lee Stempniak,knee injury ,out indefinitely,5763
1053,Yan Stastny,hip injury ,DTD,5763
1054,Fernando Pisani,back injury ,4,5775
1055,Hal Gill,undisclosed ,DTD,5775
1056,Henrik Tallinder,lower leg laceration / ankle injury ,DTD,5778
1057,Freddy Meyer,abdominal injury ,DTD,5779
1058,George Parros,right eye injury ,6,5764
1059,Ruslan Fedotenko,undisclosed injury ,DTD,5764
1060,Joe Sakic,back injury ,DTD,5769
1061,Scott Hannan,flu ,DTD,5769
1062,Paul Kariya,lower body injury ,DTD,5769
1063,Shane Hnidy,lower body injury ,7,5769
1064,Ossi Vaananen,upper body injury ,DTD,5769
1065,Mathieu Schneider,hip flexor injury ,44,5769
1066,Tomas Mojzis,upper body injury ,DTD,5769
1067,Shaone Morrisonn,groin injury ,13,5770
1068,Rob Scuderi,ankle injury ,DTD,5775
1069,Scott Gomez,leg injury ,DTD,5775
1070,Tim Connolly,bruised upper body / broken rib ,DTD,5775
1071,Ben Guite,rib injury ,DTD,5776
1072,Ossi Vaananen,finger injury ,DTD,5778
1073,Mike Smith  1982-03-,lower body injury ,DTD,5786
1074,Adam Foote,back injury ,DTD,5787
1075,Joe Sakic,root canal ,DTD,5787
1076,Wojtek Wolski,head injury ,DTD,5787
1077,Wayne Primeau,ankle/foot injury ,out for season,5798
1078,Brad Richardson,foot injury ,3262,5798
1079,Marek Svatos,back injury ,DTD,5802
