,Player,Injury,Length,Date
127,Phil Bourque,flu ,DTD,769
128,Bob Carpenter  Bobby Carpenter,sprained ankle ,DTD,772
129,Stu Barnes,bruises and lacerations in and around left eye ,DTD,776
130,Shane Churla,deep thigh bruise ,DTD,776
131,Valeri Zelepukin,surgery on right eye ,out indefinitely,778
132,Brian Bradley ,charley horse ,DTD,778
133,Dave Archibald,sprained ankle ,DTD,778
134,Brian Bellows,separated shoulder ,DTD,779
135,Bob Bassen,back injury ,DTD,779
136,Dean Chynoweth,bruised knee ,DTD,781
137,Jason Arnott,flu ,DTD,783
138,Steve Chiasson,bruised left foot ,DTD,784
139,Shane Churla,torn ligament in knee ,out indefinitely,785
140,Kelly Chase,back spasms ,out indefinitely,785
141,Philippe Boucher,sprained wrist ,out for season,786
142,Jamie Baker,flu ,DTD,787
143,Donald Brashear,shoulder injury ,DTD,788
144,Sean Burke,strained groin ,out indefinitely,789
145,Enrico Ciccone,neck injury ,DTD,790
146,Shawn Antoski,flu ,DTD,791
147,Mikael Andersson,groin injury ,DTD,793
148,Bob Beers,eye injury ,DTD,794
149,Jeff Brown ,cracked bone in wrist ,out indefinitely,795
150,Marc Bergevin,elbow injury ,DTD,799
151,Don Beaupre,flu ,DTD,799
152,Rob Blake,strained groin ,out indefinitely,800
153,Greg Andrusak,separated shoulder ,DTD,804
154,Jamie Baker,shoulder injury ,DTD,804
155,Pavel Bure,unknown injury ,DTD,806
156,Benoit Brunet,pulled hamstring ,DTD,807
157,Dean Chynoweth,groin injury ,DTD,807
158,Wendel Clark,thigh injury ,DTD,807
159,Jeff Beukeboom,bruised chest ,DTD,807
160,Doug Bodger,flu ,DTD,808
161,Donald Brashear,bruised hand ,DTD,809
162,Jason Arnott,concussion ,DTD,812
163,Matthew Barnaby,lower back spasms ,DTD,817
164,Guy Carbonneau,surgery on knee ,DTD,820
165,Craig Berube,flu ,DTD,820
166,Tom Chorske,pulled groin ,DTD,821
167,Dino Ciccarelli,strained right groin ,DTD,822
168,Shane Churla,flu ,DTD,822
169,Patrice Brisebois,acute herniated disc in back ,out indefinitely,823
170,Valeri Bure,bruised right forearm ,DTD,823
171,Ryan McGill,eye injury ,out indefinitely,825
172,Rob Blake,strained groin ,DTD,827
173,Peter Bondra,flu ,DTD,828
174,Mikael Andersson,sprained ankle ,DTD,828
175,Dave Archibald,ankle injury ,out for season,828
176,Kelly Chase,sore back ,DTD,829
177,Kevin Brown,strained knee and hip ,DTD,832
178,Jimmy Carson,shoulder injury ,DTD,836
179,Murray Baron,knee injury ,out for season,838
180,Rich Pilon,wrist injury ,out indefinitely,838
181,Kevin Brown,sprained right shoulder ,out for season,839
182,Jason Arnott,strained knee ,DTD,839
183,Bob Carpenter  Bobby Carpenter,charley horse ,out for season,840
184,Tom Chorske,bruised leg ,DTD,840
185,Nikolai Borschevsky,broken ribs ,out for season,840
186,Marc Bergevin,sore neck ,DTD,842
187,Phil Bourque,knee injury ,out for season,844
188,Shane Churla,pulled stomach muscle ,DTD,845
189,Enrico Ciccone,shoulder injury ,DTD,846
190,Radek Bonk,ankle injury ,out for season,846
191,Jeff Brown ,sprained shoulder ,out for season,848
192,Doug Bodger,bruised shoulder ,out for season,848
193,Benoit Brunet,bruised right knee ,DTD,853
194,Sergei Brylin,tonsillitis ,out for season,853
195,Tom Barrasso,sore wrist ,DTD,853
196,Drake Berehowsky,surgery on knee ,out indefinitely),912
197,Richard Smehlik,surgery on knee ,out for season,953
198,Craig Berube,broken jaw ,DTD,987
199,Donald Audette,torn cartilage in knee ,out indefinitely,996
200,Marc Bureau,broken foot ,DTD,999
201,Joby Messier,knee injury ,out indefinitely,999
202,Dave Archibald,sprained ankle ,DTD,999
203,Bob Carpenter  Bobby Carpenter,lacerated leg ,DTD,1001
204,Bob Bassen,knee injury ,out indefinitely,1003
205,Steve Passmore,blood disorder ,out indefinitely,1004
206,Philippe Boucher,right wrist tendinitis ,out indefinitely,1009
207,Randy Burridge,shoulder injury ,DTD,1010
208,Jason Arnott,concussion and lacerated face ,DTD,1011
209,Bob Carpenter  Bobby Carpenter,reinjured lacerated leg ,DTD,1017
210,Brian Bradley ,bruised foot ,DTD,1018
211,Jimmy Carson,shoulder injury ,DTD,1019
212,Guy Carbonneau,groin injury ,DTD,1020
213,Rob Blake,partially torn ligaments in left knee ,out indefinitely,1023
214,Shawn Antoski,shoulder injury ,DTD,1025
215,Arto Blomsten,strained back ,out indefinitely,1026
216,Bill Berg,broken leg ,out indefinitely,1029
217,Shane Churla,broken right ankle ,DTD,1029
218,Jason Bonsignore,flu ,DTD,1033
219,Bob Carpenter  Bobby Carpenter,reinjured lacerated leg ,out indefinitely,1034
220,Brian Bradley ,bruised right knee ,DTD,1034
221,Patrice Brisebois,rib cage injury ,DTD,1015
222,Marc Bergevin,flu ,DTD,1015
223,Mark Astley,flu ,DTD,1015
224,Brett Lindros,head injury ,out indefinitely,1016
225,Phil Bourque,bruised ribs ,DTD,1016
226,Paul Coffey,back injury ,DTD,1018
227,Donald Audette,broken thumb ,DTD,1022
228,Pavel Bure,torn ACL in knee ,out for season,1023
229,Craig Berube,concussion ,DTD,1024
230,Benoit Brunet,sprained wrist ,DTD,1025
231,Peter Bondra,separated shoulder ,DTD,1025
232,Neal Broten,bruised knee ,DTD,1025
233,Steve Chiasson,wrist injury ,DTD,1025
234,Shawn Chambers,charley horse ,DTD,1028
235,Sergei Brylin,fractured hand ,out indefinitely,1030
236,Enrico Ciccone,torn ligament in right thumb ,out indefinitely,1032
237,Jimmy Carson,bruised knee ,DTD,1032
238,Sean Burke,back spasms ,DTD,1033
239,Dennis Vaske,concussion ,out for season,1036
240,Benoit Brunet,sprained wrist ,out indefinitely,1039
241,Mikael Andersson,left knee injury ,DTD,1039
242,Marc Bureau,sore neck ,DTD,1043
243,Steve Chiasson,bruised knee ,DTD,1045
244,Donald Audette,right knee injury ,DTD,1045
245,Dave Andreychuk,separated shoulder ,DTD,1046
246,Doug Brown,flu ,DTD,1046
247,Andrew Cassels,bruised forearm ,DTD,1046
248,Mikael Andersson,left knee injury ,DTD,1047
249,Bob Carpenter  Bobby Carpenter,flu ,DTD,1050
